,Type,Skin,Rating,Reviews,Product
0,General Moisturizer,dry,4.6,11060,Natural Moisturizing Factors + HA - The Ordinary
1,General Moisturizer,age,4.6,11060,Natural Moisturizing Factors + HA - The Ordinary
2,General Moisturizer,brightening,4.6,11060,Natural Moisturizing Factors + HA - The Ordinary
3,General Moisturizer,large pores,4.6,11060,Natural Moisturizing Factors + HA - The Ordinary
4,General Moisturizer,scar healing,4.6,11060,Natural Moisturizing Factors + HA - The Ordinary
5,Eye Moisturizer,dry,4.3,48908,Eye Repair Cream - CeraVe
6,Eye Moisturizer,oil,4.3,48908,Eye Repair Cream - CeraVe
7,Eye Moisturizer,acne,4.3,48908,Eye Repair Cream - CeraVe
8,Eye Moisturizer,age,4.3,48908,Eye Repair Cream - CeraVe
9,Eye Moisturizer,brightening,4.3,48908,Eye Repair Cream - CeraVe
10,Toner,dry,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
11,Toner,age,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
12,Toner,brightening,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
13,Toner,sensitive,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
14,Toner,dark spots,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
15,Toner,texture,4.6,3869,"Supple Preparation Unscented Toner - Dear, Klairs"
16,Serum,dry,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
17,Serum,age,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
18,Serum,brightening,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
19,Serum,scar healing,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
20,Serum,dark spots,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
21,Serum,texture,4.5,8858,"Freshly Juiced Vitamin Drop - Dear, Klairs"
22,Eye Moisturizer,dry,4.3,7321,Squalane + Peptide Eye Gel - Biossance
23,Eye Moisturizer,oil,4.3,7321,Squalane + Peptide Eye Gel - Biossance
24,Eye Moisturizer,acne,4.3,7321,Squalane + Peptide Eye Gel - Biossance
25,Eye Moisturizer,age,4.3,7321,Squalane + Peptide Eye Gel - Biossance
26,Eye Moisturizer,brightening,4.3,7321,Squalane + Peptide Eye Gel - Biossance
27,Eye Moisturizer,large pores,4.3,7321,Squalane + Peptide Eye Gel - Biossance
28,Eye Moisturizer,sensitive,4.3,7321,Squalane + Peptide Eye Gel - Biossance
29,Eye Moisturizer,dark spots,4.3,7321,Squalane + Peptide Eye Gel - Biossance
30,Eye Moisturizer,texture,4.3,7321,Squalane + Peptide Eye Gel - Biossance
31,Toner,dry,4.5,483,Gokujyun Premium Lotion - Hada Labo
32,Toner,oil,4.5,483,Gokujyun Premium Lotion - Hada Labo
33,Toner,age,4.5,483,Gokujyun Premium Lotion - Hada Labo
34,Toner,brightening,4.5,483,Gokujyun Premium Lotion - Hada Labo
35,Toner,large pores,4.5,483,Gokujyun Premium Lotion - Hada Labo
36,Toner,scar healing,4.5,483,Gokujyun Premium Lotion - Hada Labo
37,Toner,texture,4.5,483,Gokujyun Premium Lotion - Hada Labo
38,General Moisturizer,dry,4.3,28,Moisture Surge 72-Hour Auto-Replenishing Hydrator - Clinique
39,General Moisturizer,age,4.3,28,Moisture Surge 72-Hour Auto-Replenishing Hydrator - Clinique
40,General Moisturizer,brightening,4.3,28,Moisture Surge 72-Hour Auto-Replenishing Hydrator - Clinique
41,General Moisturizer,dark spots,4.3,28,Moisture Surge 72-Hour Auto-Replenishing Hydrator - Clinique
42,General Moisturizer,texture,4.3,28,Moisture Surge 72-Hour Auto-Replenishing Hydrator - Clinique
43,General Moisturizer,dry,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
44,General Moisturizer,age,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
45,General Moisturizer,brightening,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
46,General Moisturizer,large pores,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
47,General Moisturizer,dark spots,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
48,General Moisturizer,texture,4.8,1239,Moisture Surge™ 100-Hour Auto-Replenishing Hydrator - Clinique
49,General Moisturizer,dry,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
50,General Moisturizer,oil,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
51,General Moisturizer,acne,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
52,General Moisturizer,age,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
53,General Moisturizer,brightening,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
54,General Moisturizer,large pores,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
55,General Moisturizer,scar healing,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
56,General Moisturizer,sensitive,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
57,General Moisturizer,texture,4.6,4,Bifida Biome Aqua Barrier Cream - ma:nyo
58,Serum,dry,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
59,Serum,oil,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
60,Serum,acne,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
61,Serum,age,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
62,Serum,brightening,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
63,Serum,large pores,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
64,Serum,scar healing,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
65,Serum,dark spots,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
66,Serum,texture,4.5,81290,Youth Recovery & Blemish Defense Night Serum - NourishMax
67,Toner,dry,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
68,Toner,age,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
69,Toner,brightening,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
70,Toner,sensitive,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
71,Toner,dark spots,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
72,Toner,texture,4.6,4879,"Supple Preparation Facial Toner - Dear, Klairs"
73,Serum,dry,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
74,Serum,oil,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
75,Serum,acne,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
76,Serum,age,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
77,Serum,brightening,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
78,Serum,scar healing,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
79,Serum,sensitive,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
80,Serum,dark spots,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
81,Serum,texture,5.0,3,Green Tangerine Vita C Dark Spot Serum - Goodal
82,Serum,dry,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
83,Serum,oil,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
84,Serum,acne,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
85,Serum,age,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
86,Serum,brightening,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
87,Serum,large pores,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
88,Serum,scar healing,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
89,Serum,dark spots,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
90,Serum,texture,4.5,1703,Vitamin C Super Serum Plus - Naturium Skincare
91,Serum,dry,4.3,11,Cica Care Clearing Ampoule - Rovectin
92,Serum,oil,4.3,11,Cica Care Clearing Ampoule - Rovectin
93,Serum,acne,4.3,11,Cica Care Clearing Ampoule - Rovectin
94,Serum,age,4.3,11,Cica Care Clearing Ampoule - Rovectin
95,Serum,brightening,4.3,11,Cica Care Clearing Ampoule - Rovectin
96,Serum,scar healing,4.3,11,Cica Care Clearing Ampoule - Rovectin
97,Serum,sensitive,4.3,11,Cica Care Clearing Ampoule - Rovectin
98,Facial Treatment,dry,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
99,Facial Treatment,oil,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
100,Facial Treatment,acne,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
101,Facial Treatment,age,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
102,Facial Treatment,brightening,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
103,Facial Treatment,large pores,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
104,Facial Treatment,scar healing,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
105,Facial Treatment,sensitive,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
106,Facial Treatment,dark spots,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
107,Facial Treatment,texture,4.3,136163,Vita C Plus Spot Correcting & Firming Ampoule - Missha
108,General Moisturizer,dry,4.0,3911,Hidratante Firmador - Sallve
109,General Moisturizer,oil,4.0,3911,Hidratante Firmador - Sallve
110,General Moisturizer,age,4.0,3911,Hidratante Firmador - Sallve
111,General Moisturizer,brightening,4.0,3911,Hidratante Firmador - Sallve
112,General Moisturizer,large pores,4.0,3911,Hidratante Firmador - Sallve
113,General Moisturizer,scar healing,4.0,3911,Hidratante Firmador - Sallve
114,General Moisturizer,texture,4.0,3911,Hidratante Firmador - Sallve
115,Toner,dry,4.5,3136,Galactomyces 95 Tone Balancing Essence - COSRX
116,Toner,oil,4.5,3136,Galactomyces 95 Tone Balancing Essence - COSRX
117,Toner,acne,4.5,3136,Galactomyces 95 Tone Balancing Essence - COSRX
118,Toner,brightening,4.5,3136,Galactomyces 95 Tone Balancing Essence - COSRX
119,Toner,sensitive,4.5,3136,Galactomyces 95 Tone Balancing Essence - COSRX
120,Serum,dry,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
121,Serum,oil,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
122,Serum,acne,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
123,Serum,age,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
124,Serum,brightening,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
125,Serum,sensitive,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
126,Serum,dark spots,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
127,Serum,texture,4.8,6,Avocado Ceramide Redness Relief Serum - Glow Recipe
128,Serum,dry,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
129,Serum,oil,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
130,Serum,acne,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
131,Serum,age,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
132,Serum,brightening,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
133,Serum,large pores,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
134,Serum,scar healing,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
135,Serum,dark spots,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
136,Serum,texture,4.4,2068,Skin Booster Vitamin Shot Time Restoring - Physician's Formula
137,Serum,dry,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
138,Serum,oil,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
139,Serum,acne,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
140,Serum,age,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
141,Serum,brightening,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
142,Serum,large pores,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
143,Serum,scar healing,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
144,Serum,dark spots,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
145,Serum,texture,4.5,33828,Beet Vitamin A Serum Shot - Sweet Chef
146,Toner,dry,4.6,1031,Vita C Plus Brightening Toner - Missha
147,Toner,oil,4.6,1031,Vita C Plus Brightening Toner - Missha
148,Toner,acne,4.6,1031,Vita C Plus Brightening Toner - Missha
149,Toner,age,4.6,1031,Vita C Plus Brightening Toner - Missha
150,Toner,brightening,4.6,1031,Vita C Plus Brightening Toner - Missha
151,Toner,scar healing,4.6,1031,Vita C Plus Brightening Toner - Missha
152,Toner,sensitive,4.6,1031,Vita C Plus Brightening Toner - Missha
153,Toner,dark spots,4.6,1031,Vita C Plus Brightening Toner - Missha
154,Toner,texture,4.6,1031,Vita C Plus Brightening Toner - Missha
155,Toner,dry,4.8,19,Birch Juice Moisturizing Toner - Round Lab
156,Toner,oil,4.8,19,Birch Juice Moisturizing Toner - Round Lab
157,Toner,age,4.8,19,Birch Juice Moisturizing Toner - Round Lab
158,Toner,brightening,4.8,19,Birch Juice Moisturizing Toner - Round Lab
159,Toner,scar healing,4.8,19,Birch Juice Moisturizing Toner - Round Lab
160,Toner,sensitive,4.8,19,Birch Juice Moisturizing Toner - Round Lab
161,Toner,dark spots,4.8,19,Birch Juice Moisturizing Toner - Round Lab
162,Toner,texture,4.8,19,Birch Juice Moisturizing Toner - Round Lab
163,Serum,dry,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
164,Serum,oil,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
165,Serum,acne,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
166,Serum,age,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
167,Serum,brightening,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
168,Serum,scar healing,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
169,Serum,texture,4.8,15,Bifida Biome Complex Ampoule - ma:nyo
170,Eye Moisturizer,dry,4.3,48908,Visible Difference Eye Cream - Elizabeth Arden
171,Eye Moisturizer,oil,4.3,48908,Visible Difference Eye Cream - Elizabeth Arden
